"VERSION","LOCAL","REMOTE","TRACKING","SOURCE","LOCAL_BLOB","REMOTE_STATEMENTS_MD5","CONTENT_STATUS","CLASSIFICATION","FILENAME"
"20260412000000","YES","YES","HEAD_TRACKED","HEAD_GIT_BLOB","639c10383a774cd9b823a5995873697fec1d1019","7e419a4807c70d9b40e44e4937916c11","EXACT_REMOTE_STATEMENTS","HISTORICAL_SYNCED","20260412000000_create_core_identity_business_foundation.sql"
"20260413100000","YES","YES","HEAD_TRACKED","HEAD_GIT_BLOB+REMOTE_HISTORY_ONLY_FOR_APPLIED_CONTENT","639b196113eb617ed99165ca3dbcda7a56285cd9","98b9d0726b8c202c387028325d03aa2b","REMOTE_CONTENT_UNRECOVERED","REMOTE_CONTENT_UNRECOVERED","20260413100000_create_business_subscriptions.sql"
"20260413100001","YES","YES","HEAD_TRACKED","HEAD_GIT_BLOB","6ceefe6a8b5ab4f2ae2f4853334701e8c8ffeadd","5cc178150a7182080bb0f55db84090be","EXACT_REMOTE_STATEMENTS","HISTORICAL_SYNCED","20260413100001_create_business_premium_links.sql"
"20260413100002","YES","YES","HEAD_TRACKED","EXACT_GIT_BLOB:7166f9a838ce2a5abe36efdead930b81ab9cb573@a346ba085c3893747e7371b27ad0a18fd54b9ed3","a80794dbee1a8af145dab82f179d1cfdc14246de","9ba0a7e74d7339962ab898a61591324c","EXACT_REMOTE_STATEMENTS","HISTORICAL_SYNCED","20260413100002_migrate_gastronomy_to_business_subscriptions.sql"
"20260413110000","YES","YES","HEAD_TRACKED","HEAD_GIT_BLOB","7f8005ace49ef03889275fed5cdf0dac3efa5228","579798fb229ca5be3c2243964f6958b0","EXACT_REMOTE_STATEMENTS","HISTORICAL_SYNCED","20260413110000_create_qr_codes_system.sql"
"20260413130000","YES","YES","HEAD_TRACKED","HEAD_GIT_BLOB","d99f63f81a27fa0524b6a21bb9e5fc1a0d71cad8","994038a83ec06e5caf3052abd201ef4c","EXACT_REMOTE_STATEMENTS","HISTORICAL_SYNCED","20260413130000_create_business_hours.sql"
"20260413140000","YES","YES","HEAD_TRACKED","HEAD_GIT_BLOB","ad1b48e2ea8d6ada737455c0e8aa067b381552b7","667a3e0edcfef6227588fefb3c3a6a96","EXACT_REMOTE_STATEMENTS","HISTORICAL_SYNCED","20260413140000_create_delivery_areas.sql"
"20260413160000","YES","YES","HEAD_TRACKED","HEAD_GIT_BLOB","18de5e79da0fc743576bd6e67d13e959477b19f3","28bd7ba54d7b378bd3072d58efa5fee7","EXACT_REMOTE_STATEMENTS","HISTORICAL_SYNCED","20260413160000_create_delivery_system.sql"
"20260413170000","YES","YES","HEAD_TRACKED","HEAD_GIT_BLOB","63589716098c09464c4453bb442637522b420bb8","fc2055a2c3b94379b46313c3143cd4af","EXACT_REMOTE_STATEMENTS","HISTORICAL_SYNCED","20260413170000_create_analytics_system.sql"
"20260414110000","YES","YES","HEAD_TRACKED","HEAD_GIT_BLOB","197a12ac39c5f77f044287f9c20c80ee390c3b31","2b11ab341a8a13319d8c54ed9c880ab1","EXACT_REMOTE_STATEMENTS","HISTORICAL_SYNCED","20260414110000_reconcile_mobility_motoboy_ssot.sql"
"20260414200000","YES","YES","HEAD_TRACKED","HEAD_GIT_BLOB","5e77b63285a1900aff4b03b7bd945ec8f98c854c","3227841844c4fb7e5cfba6a2dd823726","EXACT_REMOTE_STATEMENTS","HISTORICAL_SYNCED","20260414200000_fix_create_profile_driver_capabilities.sql"
"20260415000000","YES","YES","HEAD_TRACKED","EXACT_GIT_BLOB:8841a3fca7177e6d4b09e96c5a4d28bf652cafe1@a346ba085c3893747e7371b27ad0a18fd54b9ed3","523b4f153e31b02ebc4a2fe7fff349d3558f0055","9f40e33dd3ca655e884ac5856e1c14f5","EXACT_REMOTE_STATEMENTS","HISTORICAL_SYNCED","20260415000000_create_activity_feed_system.sql"
"20260415100000","YES","YES","HEAD_TRACKED","HEAD_GIT_BLOB","20b211f564bb71fd3736587b7520c7f1904d56f7","4b411503819deca3554ba27825b632ab","EXACT_REMOTE_STATEMENTS","HISTORICAL_SYNCED","20260415100000_create_orders_system.sql"
"20260415110000","YES","YES","HEAD_TRACKED","HEAD_GIT_BLOB","8c488dd8f16e7d95032e750627b06160ab903945","028f182253b0a7517c530a381a272cbf","EXACT_REMOTE_STATEMENTS","HISTORICAL_SYNCED","20260415110000_fix_delivery_functions.sql"
"20260416000000","YES","YES","HEAD_TRACKED","HEAD_GIT_BLOB","47a4e0482d72287d8c31b5cc015841c39054f26a","982a589e0124c9f4dc065154aef017d5","EXACT_REMOTE_STATEMENTS","HISTORICAL_SYNCED","20260416000000_create_ride_offers.sql"
"20260416100000","YES","YES","HEAD_TRACKED","HEAD_GIT_BLOB","2acee0c284c478789cb1abb88221c640857d73cc","e5f2c245b13b12530b66e167574e9093","EXACT_REMOTE_STATEMENTS","HISTORICAL_SYNCED","20260416100000_create_billing_plans.sql"
"20260416100001","YES","YES","HEAD_TRACKED","HEAD_GIT_BLOB","94d67b7472139211e1b5e13572ea5e2e40dcab07","7a8acc4c63705ebcfa94fe397566ab33","EXACT_REMOTE_STATEMENTS","HISTORICAL_SYNCED","20260416100001_create_subscription_plans.sql"
"20260416110000","YES","YES","HEAD_TRACKED","HEAD_GIT_BLOB+REMOTE_HISTORY_ONLY_FOR_APPLIED_CONTENT","21a3015e1a92060d41ea83c12b6fa796757615e1","113f51355b09e320b68cf89cd9246569","REMOTE_CONTENT_UNRECOVERED","REMOTE_CONTENT_UNRECOVERED","20260416110000_create_vagas.sql"
"20260416120000","YES","YES","HEAD_TRACKED","EXACT_GIT_BLOB:b62ca3b983689a15152b95f4b92dc04673b19ce2@a5451d9d410be40578b5a84e9f8c71c7c4669d83","8052b5bb08e65a148444e71c2c9dc8a32a5dcba6","1b98ceda494a57933231c7e810787c3a","EXACT_REMOTE_STATEMENTS","HISTORICAL_SYNCED","20260416120000_seed_vagas.sql"
"20260416130000","YES","YES","HEAD_TRACKED","EXACT_GIT_BLOB:dc02e9c0e6fe84271fb633980603b6bc2dd628d4@a5451d9d410be40578b5a84e9f8c71c7c4669d83","c563dd8ce120780417fa0bb9bdf0569bd03bf1dc","9c6f4b62e3e70755d165c833ebb6f410","EXACT_REMOTE_STATEMENTS","HISTORICAL_SYNCED","20260416130000_fix_vagas_location.sql"
"20260416140000","YES","YES","HEAD_TRACKED","EXACT_GIT_BLOB:79d976f30fb5fea3a367250e81027579a9834bff@a5451d9d410be40578b5a84e9f8c71c7c4669d83","62c5f82f543ba60508ad02023748d56f12b24b6f","55fa32d914e5c806356c25d9c86874b0","EXACT_REMOTE_STATEMENTS","HISTORICAL_SYNCED","20260416140000_fix_vagas_to_correct_salvador.sql"
"20260416150000","YES","YES","HEAD_TRACKED","EXACT_GIT_BLOB:796fedd3251dcc94c3f85e38497527b73e2a57ac@a5451d9d410be40578b5a84e9f8c71c7c4669d83","d4a002f0ccc71a6ecf585e580b53189b719214d3","0b54c8759be8700119928a186554d470","EXACT_REMOTE_STATEMENTS","HISTORICAL_SYNCED","20260416150000_add_vagas_missing_fields.sql"
"20260416180000","YES","YES","HEAD_TRACKED","HEAD_GIT_BLOB","fc14249756da8a620ce2ab3753557e00169614bb","cddea97e407bb856aae8351d442b88dc","EXACT_REMOTE_STATEMENTS","HISTORICAL_SYNCED","20260416180000_fix_vagas_types.sql"
